Zone,Product_ID,Product_Name,Visits,Online_Views,Zone_Category
B1,P011,Godrej No.1 Soap,33,3200,Cold
B6,P016,Cricket Bat Kids,24,3914,Cold
C7,P027,Bread Loaf Brown,37,5006,Cold
C8,P028,Nescafe Classic Coffee 100g,38,5430,Cold
D2,P032,Bananas Dozen,39,7969,Cold
D5,P035,Men's T-Shirt Basic,37,3549,Cold
D6,P036,Bournvita 500g,38,2769,Cold
D7,P037,Ponds Cold Cream,36,6143,Cold
E6,P046,Corn Flakes 500g,35,3362,Cold
E7,P047,Tomatoes 500g,36,4179,Cold
F3,P053,Horlicks Classic,36,7614,Cold
F8,P058,Vinegar 500ml,39,4551,Cold
F9,P059,Sport Shoes Adidas,35,6177,Cold
H5,P075,Everest Garam Masala,35,6031,Cold
I6,P086,Frooti Mango Drink 1L,39,5166,Cold
I10,P090,Fair & Lovely Cream,32,5250,Cold
J9,P099,Philips LED Bulb,31,6322,Cold
